theatreId,name,cityName,address1,address2,address3,latitude,longitude,telephone,fbDeliveryOnSeat,caretakerContactNo,foodAvailable,handicapRamp,handicap,miv
110,"INOX Garuda Mall, Magrath Road Bengaluru",Bengaluru,"PVR INOX Limited., 4th Floor, Garuda Mall,","Magrath Road,","Bengaluru - 560025, Karnataka",12.97024096,77.60944392,7899729011,False,7899729011,True,False,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/110_wOPWzTYu.jpg
127,"INOX Shree Garuda Swagath Mall, Jayanagar Bengaluru",Bengaluru,"PVR INOX Limited., 4th Floor, Shree Garuda Swagath Mall, ","Tilak Nagar Main Road, Jayanagar, ","Bengaluru - 560041, Karnataka",12.92895292,77.59140646,7899729012,False,7899729012,True,False,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/127_Xy0lkWYI.jpg
14,"INOX Lido Mall, Ulsoor Bengaluru",Bengaluru,"PVR INOX Limited., 2nd Floor, Lido Mall, ","Swamy Vivekananda Road, Ulsoor, ","Bengaluru - 560008, Karnataka",12.97328,77.62128,7899729015,False,7899729015,True,False,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/14_vA0UgTtx.jpg
148,"INOX Mantri Square, Malleshwaram Bengaluru",Bengaluru,"PVR INOX Limited., 3rd Floor, Mantri Square, ","No. 1, Sampige Road, Malleshwaram, ","Bengaluru - 560003, Karnataka",12.99225012,77.57045887,9538271333,False,9538271333,True,False,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/148_0QtBoXaq.jpg
150,"INOX Central, Mantri Junction, JP Nagar Bengaluru",Bengaluru,"PVR INOX Limited., 5th Floor, Central Mantri Junction,","45th Cross, J.P. Nagar 2nd Phase,","Bengaluru - 560069, Karnataka",12.91657318,77.59233217,7899729014,False,7899729014,True,False,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/150_edxXT63m.jpg
208,"INOX Brookefield Mall, Brookefield Bengaluru",Bengaluru,"PVR INOX Limited., 4th Floor, Brookefield Mall, ","Kundalahalli Main Road, ","Bengaluru - 560037, Karnataka",12.96615455,77.71789574,9538275333,False,9538275333,True,False,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/208_c5917GH2.jpg
231,"INOX Galleria Mall,Yelahanka Bengaluru",Bengaluru,"PVR INOX Limited., 2nd Floor, Galleria Mall, ","Bellary Road, Yelahanka, ","Bengaluru - 560064, Karnataka",13.09465073,77.59527638,7829082626,False,7829082626,True,False,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/231_gor4bSPl.jpg
24,INOX Nexus Whitefield Bengaluru,Bengaluru,"PVR INOX Limited., 2nd Floor, Nexus Whitefield,","Whitefield Main Road,","Bengaluru - 560066, Karnataka",12.95989245,77.74827891,9513915333,False,9513915333,True,False,False,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/24_A7yYccad.jpg
261,INOX Garuda Yelahanka Bengaluru,Bengaluru,"PVR INOX Limited., 4th Floor, Garuda Yelahanka, ","1st A Main Road, Yelahanka New Town, ","Bengaluru - 560064, Karnataka",13.0975018,77.5837655,7829755657,False,7829755657,True,False,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/261_dGKbE6K3.jpg
282,"INOX SBR Horizon, Seegehalli Bengaluru",Bengaluru,"PVR INOX Limited., 2nd Floor, SBR Horizon Mall,","Seegehalli,","Bengaluru - 560067, Karnataka",13.0183632,77.76262859,9538276333,False,9538276333,True,False,False,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/282_NsPyuWpu.jpg
309,INOX Megaplex Mall of Asia Bangalore,Bengaluru,"PVR INOX Limited., PMC MOA, 4th Floor, Phoenix Mall of Asia,","Byatarayanapura, Bellary Road,","Bengaluru - 560092, Karnataka",13.07056515,77.59220031,,True,0,True,False,False,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/309_HR7vpJum.jpg
385,"PVR MSR Elements Mall, Tanisandhra Main Road",Bengaluru,"5th Floor,MSR Elements Regalia Mall,","100 Main Tanisandra Road,Kasba Hobli,","Nagavara,Bengaluru,Karnataka 560077,India",13.04529212,77.62657437, ,False,,True,True,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/385_yzYwXWCa.jpg
390,"PVR, VR Bengaluru, Whitefield Road",Bengaluru,"PVR Cinemas, 3rd Floor, VR Mall, 408 3rd Cross, Singayana Palya, Main Whitefield Road, Mahadevpura, Bengaluru  560048",,,12.9958438,77.6956116, ,False,,True,False,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/390_MoxZiqyy.jpg
391,"PVR Vaishnavi Sapphire Mall, Yashwant pur",Bengaluru,"3rd floor,aishnavi Sapphire Mall,Tumkur Main Road,","Yeshwanthpur Industrial Area,Phase 1, ","Yeshwanthpur,Bengaluru,Karnataka 560022,India",13.02444799,77.5486822, ,False,,True,True,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/391_DxzbY6gH.jpg
507,"PVR Nexus (Formerly Forum), Koramangala",Bengaluru,"The Forum Mall,  21-22,  Adugodi Main Road,  Koramangala,  Bengalooru - 560095 ",,,12.93478634,77.61134584, ,True,,True,True,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/507_AnJx485p.jpg
510,"PVR, Central Spirit Mall, Bellandur",Bengaluru,"Soul Space Spirit Central M all,","Outer Ring Road, Bellandur,","Bengaluru,Karnataka 560037,India",12.92585967,77.67527862, ,False,,True,True,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/510_CJ1KYcsx.jpg
511,"PVR Orion Mall, Dr Rajkumar Road",Bengaluru,"PVR Orion Mall,  3rd Floor,  Brigade Gateway,  Malleshwaram (East) Bengaluru Pin Code:-560001",,,13.01123026,77.55502264, ,True,,True,False,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/511_cyOtjuS4.jpg
512,"PVR Phoenix Marketcity Mall, Whitefield Road",Bengaluru,"Marketcity Mall, Bengalooru",,,12.99613919,77.69659239,,True,0,True,True,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/512_0iitwEw8.jpg
519,PVR GT World Mall Magadi Road,Bengaluru,"92,Magadi Road Tollgate,Magadi Road,","Next to Prasanna Theatre,","Bengaluru,Karnataka 560023,India",12.9738308,77.55156894, ,False,,True,False,False,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/519_q6sDu44C.jpg
520,"PVR Vega City, Bannerghatta Road",Bengaluru,"PVR Cinemas, 4th and 5th Floor,Vega City Mall,172/1,","Bannerghatta Main Road,JP Nagar 3rd Phase,","Dollar Layout,Bengaluru,Karnataka 560076,India",12.90748805,77.60114314, ,False,,True,True,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/520_KdzxiAbt.jpg
522,PVR Aura Park Square Whitefield Bengaluru,Bengaluru,"Park Square Mall, ITPB,","Whitefield Road, Bengaluru,","Karnataka 560066, India",12.98739264,77.73667401, ,False,,True,False,False,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/522_R9IyfkWz.jpg
528,"PVR Orion UPTOWN,OLD Madras Road, Bengaluru",Bengaluru,"Orion Uptown Mall,2nd Floor,Survey No.49-51,","Huskar Village, Bidarahalli Hobli, Kattamnallur,","Sanntammanahalli,Bengaluru,Karnataka 560049,India",13.05538487,77.76407992, ,False,,True,False,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/528_lSXpxL2c.jpg
529,PVR Directors cut Forum REX WALK Bengaluru,Bengaluru,,,,12.97255341,77.6067667, ,False,,True,True,False,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/529_i7gjVrJW.jpg
531,PVR Bhartiya Mall Of Bengaluru,Bengaluru,"PVR Bhartiya City, 2rd floor, Bhartiya City Mall, Thanisandra Main Road, Kannuru, Bengaluru, Karnataka â€“ 560064.",,,13.08370354,77.64329572, ,False,,True,True,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/531_sCtrA6w1.jpg
533,PVR Superplex Forum Mall Kanakapura Road,Bengaluru,"3rd Floor,Forum Mall,Konanakunte Cross,","Kanakapura Road, South Bangalore,","Bengaluru,Karnataka 560062,India",12.88750049,77.56248555, ,False,,True,True,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/533_Z9woOF7b.jpg
534,"PVR Global Mall, Mysore Road, Bengaluru",Bengaluru,"PVR Global Mall,3rd Floor Mysore Road,Pantharapalya,","Kengeri Hobli,South Taluk,Nayanda Halli,","Bengaluru,Karnataka 560039, India",12.94065935,77.52503852, ,False,,True,True,True,https://originserver-static1-uat.pvrcinemas.com/pvrcms/cinema_v/534_LWJ1txFE.jpg
